ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
US37950E4089,31/10/2015,USD,0.0000
US37950E2182,31/10/2015,USD,0.0571
US37950E5490,31/10/2015,USD,0.0000
US37950E2919,31/10/2015,USD,0.0000
US37950E3412,31/10/2015,USD,0.0063
US37954Y8488,31/10/2015,USD,0.0000
US37954Y8306,31/10/2015,USD,0.0000
US37954Y8710,31/10/2015,USD,0.0000
US37954Y8553,31/10/2015,USD,0.0000
US37950E4089,31/10/2016,USD,0.0330
US37950E2182,31/10/2016,USD,0.0000
US37950E5490,31/10/2016,USD,0.0000
US37950E2919,31/10/2016,USD,0.0000
US37950E3412,31/10/2016,USD,0.0695
US37954Y8488,31/10/2016,USD,0.0000
US37954Y8306,31/10/2016,USD,0.0000
US37954Y8710,31/10/2016,USD,0.0000
US37954Y8553,31/10/2016,USD,0.0000
US37950E4089,31/10/2017,USD,0.0757
US37950E2182,31/10/2017,USD,0.0000
US37950E5490,31/10/2017,USD,0.0000
US37950E2919,31/10/2017,USD,0.0000
US37950E3412,31/10/2017,USD,0.0000
US37954Y8488,31/10/2017,USD,0.1896
US37954Y8306,31/10/2017,USD,0.0000
US37954Y8710,31/10/2017,USD,0.0755
US37954Y8553,31/10/2017,USD,0.0000
US37950E5490,31/10/2018,USD,0.0000
US37950E2919,31/10/2018,USD,0.0000
US37950E3412,31/10/2018,USD,0.0000
US37950E4089,31/10/2018,USD,0.0000
US37950E2182,31/10/2018,USD,0.0000
US37954Y8488,31/10/2018,USD,0.0000
US37954Y8306,31/10/2018,USD,0.0000
US37954Y8710,31/10/2018,USD,0.0000
US37954Y8553,31/10/2018,USD,0.0000
US37954Y8710,31/10/2019,USD,0.0000
US37954Y8553,31/10/2019,USD,0.0000
US37954Y8306,31/10/2019,USD,0.0803
US37954Y8488,31/10/2019,USD,0.0000
US37950E5490,31/10/2019,USD,0.0000
US37950E4089,31/10/2019,USD,0.0000
US37950E3412,31/10/2019,USD,0.0000
US37950E2182,31/10/2019,USD,0.0000
US37950E2919,31/10/2019,USD,0.0000
US37950E3669,31/10/2019,USD,0.0000
US37954Y8710,31/10/2020,USD,0.0000
US37954Y8553,31/10/2020,USD,0.1211
US37954Y8306,31/10/2020,USD,0.0000
US37954Y8488,31/10/2020,USD,0.0000
US37950E5490,31/10/2020,USD,0.0000
US37950E3412,31/10/2020,USD,0.0000
US37950E2919,31/10/2020,USD,0.0000
US37950E3669,31/10/2020,USD,0.0000
US37954Y8710,31/10/2021,USD,0.00000
US37954Y8553,31/10/2021,USD,0.00000
US37954Y8306,31/10/2021,USD,0.00000
US37954Y8488,31/10/2021,USD,0.00000
US37950E5490,31/10/2021,USD,0.00000
US37950E3412,31/10/2021,USD,0.64710
US37950E2919,31/10/2021,USD,0.00000
US37950E3669,31/10/2021,USD,0.00000
US37954Y8710,31/10/2022,USD,0.13850
US37954Y8553,31/10/2022,USD,0.00000
US37954Y8306,31/10/2022,USD,0.09790
US37954Y8488,31/10/2022,USD,0.07120
US37950E5490,31/10/2022,USD,0.00000
US37950E3412,31/10/2022,USD,0.00000
US37950E2919,31/10/2022,USD,0.00000
US37950E3669,31/10/2022,USD,0.00000
US37954Y8710,31/10/2023,USD,0.00000
US37954Y8553,31/10/2023,USD,0.01190
US37954Y8306,31/10/2023,USD,0.00000
US37954Y8488,31/10/2023,USD,0.00000
US37950E5490,31/10/2023,USD,0.00000
US37950E3412,31/10/2023,USD,0.00000
US37950E2919,31/10/2023,USD,0.00000
US37950E3669,31/10/2023,USD,0.00000
US37954Y8710,31/10/2024,USD,0.00000
US37954Y8553,31/10/2024,USD,0.00000
US37954Y8306,31/10/2024,USD,0.00000
US37954Y8488,31/10/2024,USD,0.00000
US37950E5490,31/10/2024,USD,0.00000
US37950E3412,31/10/2024,USD,0.07390
US37950E2919,31/10/2024,USD,0.00000
US37950E3669,31/10/2024,USD,0.17050
